round,total disipated energy for hetergeneous nodes,residual energy ,number of nodes alive,Total Energy consumed at each round,TotalEnergyconsumed till this round,throughput
1,0.4711950799999995,999.52880492,2000,8.912431079999946,8.912431079999946,40000
2,0.4429228399999995,999.0858820799999,2000,9.018398839999898,17.930829919999844,76000
3,0.4415545999999999,998.6443274799999,2000,9.101098599999952,27.031928519999795,116000
4,0.4321409599999994,998.2121865199999,2000,9.13325295999995,36.165181479999745,152000
5,0.4359433199999992,997.7762432,2000,9.153731319999952,45.318912799999694,188000
6,0.4281252799999999,997.3481179199999,2000,9.19194527999998,54.51085807999967,224000
7,0.4306296800000002,996.9174882399999,2000,9.172825679999894,63.68368375999957,260000
8,0.4337064399999993,996.4837817999999,2000,9.143114439999946,72.82679819999952,296000
9,0.42736056000000056,996.0564212399998,2000,9.216164559999983,82.0429627599995,332000
10,0.4302840399999996,995.6261371999999,2000,9.17685603999997,91.21981879999947,368000
11,0.430886759999999,995.1952504399999,2000,9.189814760000024,100.40963355999949,404000
12,0.4248482399999986,994.7704021999999,2000,9.228552239999978,109.63818579999946,440000
13,0.4258133999999987,994.3445887999999,2000,9.228625399999949,118.8668111999994,476000
14,0.4240666799999998,993.9205221199999,2000,9.22932667999991,128.0961378799993,512000
15,0.42425500000000077,993.4962671199999,2000,9.23527899999993,137.33141687999924,548000
16,0.42242791999999973,993.0738391999998,2000,9.247463919999968,146.5788807999992,584000
17,0.4266004799999991,992.6472387199998,2000,9.232856479999992,155.8117372799992,620000
18,0.4256910399999992,992.2215476799998,2000,9.242171039999949,165.05390831999915,656000
19,0.42087247999999894,991.8006751999999,2000,9.267136479999959,174.3210447999991,692000
20,0.4268839599999993,991.3737912399998,2000,9.231487959999958,183.55253275999905,728000
21,0.42233523999999995,990.9514559999998,2000,9.246591239999928,192.79912399999898,764000
22,0.4224895199999993,990.5289664799998,2000,9.260005519999957,202.05912951999895,800000
23,0.4203559999999986,990.1086104799998,2000,9.268719999999947,211.3278495199989,836000
24,0.42103980000000024,989.6875706799998,2000,9.272747799999939,220.60059731999883,872000
25,0.4234943199999993,989.2640763599998,2000,9.257758319999947,229.85835563999876,908000
26,0.42292323999999976,988.8411531199997,2000,9.257827239999898,239.11618287999866,944000
27,0.4204504799999995,988.4207026399997,2000,9.277138479999913,248.39332135999857,980000
28,0.4249001599999992,987.9958024799997,2000,9.240672159999885,257.63399351999846,1016000
29,0.42182359999999913,987.5739788799997,2000,9.253019599999966,266.8870131199984,1052000
30,0.422223679999999,987.1517551999997,2000,9.259243679999942,276.14625679999835,1088000
31,0.42039723999999956,986.7313579599997,2000,9.274181239999937,285.4204380399983,1124000
32,0.4222707599999992,986.3090871999998,2000,9.26133075999998,294.6817687999983,1160000
33,0.42506075999999915,985.8840264399998,2000,9.238608759999925,303.9203775599982,1196000
34,0.42090271999999906,985.4631237199999,2000,9.264682719999898,313.1850602799981,1232000
35,0.41976283999999964,985.0433608799999,2000,9.274098839999919,322.459159119998,1268000
36,0.4206441199999994,984.6227167599999,2000,9.272268119999927,331.7314272399979,1304000
37,0.42089271999999855,984.2018240399999,2000,9.272852719999902,341.0042799599978,1340000
38,0.42212563999999936,983.7796983999999,2000,9.25846163999995,350.26274159999775,1376000
39,0.4195213199999997,983.36017708,2000,9.274353319999937,359.5370949199977,1412000
40,0.42063056000000076,982.93954652,2000,9.271126559999951,368.80822147999766,1448000
41,0.41994375999999983,982.51960276,2000,9.272275759999928,378.0804972399976,1484000
42,0.4203028400000004,982.09929992,2000,9.27236283999993,387.3528600799975,1520000
43,0.4211666000000005,981.67813332,2000,9.262886599999927,396.61574667999747,1556000
44,0.41944011999999914,981.2586932,2000,9.271784119999937,405.8875307999974,1592000
45,0.4186975199999989,980.83999568,2000,9.278525519999924,415.1660563199973,1628000
46,0.41915483999999903,980.42084084,2000,9.272050839999938,424.4381071599973,1664000
47,0.420012919999999,980.00082792,2000,9.266740919999947,433.70484807999725,1700000
48,0.41948079999999943,979.58134712,2000,9.27376879999997,442.9786168799972,1736000
49,0.42073299999999964,979.16061412,2000,9.264112999999947,452.24272987999717,1772000
50,0.4210057999999996,978.73960832,2000,9.26739780000002,461.5101276799972,1808000
51,0.42026512000000016,978.3193432,2000,9.26905311999995,470.77918079999716,1844000
52,0.4193347199999994,977.90000848,2000,9.279362719999973,480.05854351999716,1880000
53,0.4206439999999993,977.47936448,2000,9.271647999999985,489.33019151999713,1916000
54,0.4212891999999986,977.0580752799999,2000,9.26746519999996,498.5976567199971,1952000
55,0.42192704000000003,976.6361482399999,2000,9.268755039999988,507.86641175999705,1988000
56,0.4191853999999999,976.21696284,2000,9.278953399999962,517.145365159997,2024000
57,0.41925647999999904,975.79770636,2000,9.279024479999979,526.424389639997,2060000
58,0.4198933599999995,975.3778130000001,2000,9.275701359999983,535.700090999997,2096000
59,0.4212690399999989,974.9565439600001,2000,9.26887303999994,544.9689640399969,2132000
60,0.41953984000000016,974.5370041200001,2000,9.279367839999932,554.2483318799968,2168000
61,0.4194833999999991,974.1175207200001,2000,9.275295399999925,563.5236272799967,2204000
62,0.41912268000000047,973.6983980400001,2000,9.278870679999962,572.8024979599967,2240000
63,0.42101551999999937,973.2773825200002,2000,9.26821951999995,582.0707174799967,2276000
64,0.41959784000000006,972.8577846800001,2000,9.27520583999995,591.3459233199966,2312000
65,0.42013336000000034,972.4376513200001,2000,9.273437359999955,600.6193606799966,2348000
66,0.42112127999999927,972.0165300400001,2000,9.265697279999996,609.8850579599966,2384000
