round,total disipated energy for hetergeneous nodes,residual energy ,number of nodes alive,Total Energy consumed at each round,TotalEnergyconsumed till this round,throughput
1,0.4790976799999994,1799.52090232,2000,8.84369767999992,8.84369767999992,20000
2,0.4587596799999994,1799.06214264,2000,8.984795679999923,17.828493359999843,40000
3,0.4594621599999992,1798.6026804800001,2000,9.018134159999905,26.84662751999975,60000
4,0.4589078799999993,1798.1437726000001,2000,9.032863879999914,35.879491399999665,80000
5,0.4530720799999996,1797.69070052,2000,9.067936079999935,44.947427479999604,100000
6,0.4523087999999998,1797.23839172,2000,9.046524799999982,53.99395227999959,120000
7,0.4513251199999995,1796.7870666,2000,9.047313119999957,63.041265399999546,140000
8,0.45312635999999884,1796.33394024,2000,9.068806359999963,72.11007175999951,160000
9,0.46345803999999996,1795.8704822,2000,9.0187620399999,81.12883379999941,180000
10,0.4717127199999993,1795.39876948,2000,9.01052472000001,90.13935851999942,204000
11,0.4563984799999994,1794.942371,2000,9.054470479999933,99.19382899999935,224000
12,0.45307251999999987,1794.4892984800001,2000,9.058724520000018,108.25255351999937,248000
13,0.4720635999999994,1794.0172348800002,2000,8.980319599999918,117.23287311999928,268000
14,0.4623889599999985,1793.5548459200002,2000,9.05250895999995,126.28538207999924,288000
15,0.45624439999999933,1793.09860152,2000,9.071144399999916,135.35652647999916,308000
16,0.46296535999999966,1792.63563616,2000,9.039493359999978,144.39601983999913,328000
17,0.46326363999999853,1792.1723725200002,2000,9.014295639999956,153.41031547999907,348000
18,0.46029575999999933,1791.7120767600002,2000,9.044355759999966,162.45467123999904,368000
19,0.46285923999999945,1791.2492175200002,2000,9.062959239999909,171.51763047999896,388000
20,0.45321839999999936,1790.7959991200003,2000,9.05428639999993,180.5719168799989,408000
21,0.4606409599999991,1790.3353581600002,2000,9.024964959999924,189.59688183999882,432000
22,0.45133659999999964,1789.88402156,2000,9.07715259999995,198.67403443999876,456000
23,0.45719171999999947,1789.42682984,2000,9.070055719999957,207.74409015999873,476000
24,0.4611393600000003,1788.96569048,2000,9.067943359999976,216.81203351999872,500000
25,0.4526173999999992,1788.51307308,2000,9.122873399999943,225.93490691999867,520000
26,0.45778388,1788.0552891999998,2000,9.063399879999945,234.9983067999986,540000
27,0.4556348799999993,1787.59965432,2000,9.061798879999943,244.06010567999854,560000
28,0.44619811999999887,1787.1534562,2000,9.122702120000033,253.18280779999859,580000
29,0.46285191999999975,1786.69060428,2000,9.051471919999976,262.23427971999854,600000
30,0.4614903200000001,1786.22911396,2000,9.049462319999924,271.28374203999846,620000
