round,total disipated energy for hetergeneous nodes,residual energy ,number of nodes alive,Total Energy consumed at each round,TotalEnergyconsumed till this round,throughput
1,0.4893262799999985,1799.51067372,2000,8.887422279999946,8.887422279999946,4000
2,0.46907123999999845,1799.0416024800002,2000,8.997903239999967,17.885325519999913,8000
3,0.4654179599999989,1798.5761845200002,2000,9.010821959999976,26.89614747999989,12000
4,0.4660421999999991,1798.1101423200003,2000,9.060818199999993,35.95696567999988,16000
5,0.4670113199999986,1797.6431310000003,2000,9.04625532000002,45.003220999999904,20000
6,0.46492491999999985,1797.1782060800003,2000,9.054628919999997,54.0578499199999,24000
7,0.4667874799999989,1796.7114186000003,2000,9.048839480000002,63.10668939999991,28000
8,0.4671231599999995,1796.2442954400003,2000,9.041367159999997,72.1480565599999,32000
9,0.4561135599999995,1795.7881818800004,2000,9.046593560000025,81.19465011999992,36000
10,0.4613097999999991,1795.3268720800004,2000,9.059037800000015,90.25368791999993,40000
11,0.4572530000000001,1794.8696190800003,2000,9.108341000000015,99.36202891999994,44000
12,0.45859007999999846,1794.4110290000003,2000,9.060282080000032,108.42231099999998,48000
13,0.4614942399999991,1793.9495347600002,2000,9.06160624000007,117.48391724000005,52000
14,0.4619565199999987,1793.4875782400002,2000,9.079992520000028,126.56390976000009,56000
15,0.45877956000000003,1793.0287986800001,2000,9.090247560000009,135.65415732000008,60000
16,0.4658962399999988,1792.5629024400002,2000,9.08328023999999,144.73743756000007,64000
17,0.47080659999999974,1792.0920958400002,2000,9.055182599999949,153.79262016,68000
18,0.4802014799999997,1791.6118943600002,2000,9.007521480000015,162.80014164000002,72000
19,0.47199767999999986,1791.1398966800002,2000,9.01930168000003,171.81944332000006,76000
20,0.4659209200000002,1790.6739757600003,2000,9.047856919999983,180.86730024000005,80000
21,0.4794226799999995,1790.1945530800003,2000,8.99880667999997,189.86610692000002,84000
22,0.4626007999999988,1789.7319522800003,2000,9.092768799999975,198.95887572,88000
23,0.45471563999999925,1789.2772366400004,2000,9.106747639999979,208.06562336,92000
24,0.45347232,1788.8237643200005,2000,9.104956319999982,217.17057967999997,96000
25,0.46306831999999976,1788.3606960000004,2000,9.06669231999996,226.23727199999993,100000
26,0.46741923999999946,1787.8932767600004,2000,9.075211239999993,235.31248323999992,104000
27,0.46042367999999906,1787.4328530800003,2000,9.105539679999993,244.4180229199999,108000
28,0.4625247999999993,1786.9703282800003,2000,9.103892800000018,253.52191571999992,112000
29,0.46999247999999944,1786.5003358000004,2000,9.043168479999993,262.56508419999994,116000
30,0.4629717199999982,1786.0373640800003,2000,9.074699719999957,271.6397839199999,120000
31,0.45992727999999894,1785.5774368000002,2000,9.067943280000044,280.70772719999997,124000
32,0.4669596799999997,1785.1104771200003,2000,9.062207680000014,289.76993488,128000
33,0.46366391999999873,1784.6468132000002,2000,9.065751919999947,298.83568679999996,132000
34,0.46034115999999814,1784.1864720400001,2000,9.082669160000028,307.91835596,136000
35,0.4647970399999991,1783.7216750000002,2000,9.072865040000059,316.99122100000005,140000
36,0.46639903999999943,1783.2552759600003,2000,9.05523103999989,326.04645203999996,144000
37,0.45863647999999896,1782.7966394800003,2000,9.10006447999994,335.1465165199999,148000
38,0.46444875999999896,1782.3321907200002,2000,9.075316759999964,344.2218332799999,152000
39,0.4620971599999996,1781.8700935600002,2000,9.076949159999986,353.29878243999985,156000
40,0.4613637600000002,1781.4087298000002,2000,9.110007760000002,362.4087901999999,160000
41,0.46460892000000015,1780.9441208800001,2000,9.065912920000034,371.4747031199999,164000
42,0.46029596000000017,1780.4838249200002,2000,9.10558796000002,380.58029107999994,168000
43,0.4656444399999995,1780.0181804800002,2000,9.042440440000027,389.62273151999995,172000
44,0.4600630799999989,1779.5581174000001,2000,9.068635079999968,398.6913665999999,176000
45,0.4656175999999997,1779.0924998,2000,9.050185600000013,407.74155219999994,180000
46,0.4649102,1778.6275896,2000,9.065862199999993,416.8074143999999,184000
47,0.464205719999999,1778.1633838799999,2000,9.044869719999975,425.85228411999987,188000
48,0.46801215999999957,1777.69537172,2000,9.051268160000035,434.9035522799999,192000
49,0.46921391999999945,1777.2261578,2000,9.072477920000008,443.97603019999985,196000
50,0.4648891999999994,1776.7612686,2000,9.061161200000065,453.0371913999999,200000
51,0.4700952400000003,1776.29117336,2000,9.055055239999984,462.0922466399999,204000
52,0.46082319999999977,1775.8303501599999,2000,9.095095200000033,471.18734184,208000
53,0.4627651599999995,1775.367585,2000,9.07034916000002,480.257691,212000
54,0.4697343199999993,1774.89785068,2000,9.068178320000014,489.32586932000004,216000
55,0.46609051999999923,1774.4317601599998,2000,9.093998520000008,498.41986784000005,220000
56,0.4641255999999997,1773.9676345599999,2000,9.046921599999987,507.46678944,224000
57,0.47707431999999905,1773.49056024,2000,9.034946320000035,516.5017357600001,228000
58,0.46496219999999927,1773.02559804,2000,9.066958200000085,525.5686939600001,232000
59,0.46359800000000045,1772.56200004,2000,9.05081000000003,534.6195039600002,236000
60,0.4686224399999992,1772.0933776,2000,9.031206440000053,543.6507104000002,240000
61,0.4621691199999997,1771.63120848,2000,9.06655712000008,552.7172675200003,244000
62,0.45197352000000013,1771.17923496,2000,9.119557520000022,561.8368250400003,248000
63,0.47150907999999964,1770.70772588,2000,9.05244108,570.8892661200003,252000
64,0.46283588000000025,1770.24489,2000,9.079167880000035,579.9684340000003,256000
65,0.4552643199999989,1769.78962568,2000,9.088580319999993,589.0570143200003,260000
66,0.46475707999999955,1769.3248686,2000,9.07815307999998,598.1351674000003,264000
