round,total disipated energy for hetergeneous nodes,residual energy ,number of nodes alive,Total Energy consumed at each round,TotalEnergyconsumed till this round,throughput
1,0.5120436399999962,2399.48795636,2000,8.83238763999996,8.83238763999996,24000
2,0.5217301999999963,2398.96622616,2000,8.809326199999981,17.64171383999994,52000
3,0.5001824399999965,2398.46604372,2000,8.89571843999996,26.5374322799999,76000
4,0.4988751599999965,2397.96716856,2000,8.906891159999965,35.44432343999986,104000
5,0.5054579599999962,2397.4617106,2000,8.875101959999958,44.31942539999982,128000
6,0.5010766799999964,2396.96063392,2000,8.910080679999988,53.22950607999981,156000
7,0.5006224399999966,2396.46001148,2000,8.891886439999986,62.121392519999795,180000
8,0.5094238799999965,2395.9505876,2000,8.881459879999962,71.00285239999975,204000
9,0.5063377199999962,2395.44424988,2000,8.871129719999951,79.87398211999971,232000
10,0.5041514799999965,2394.9400984,2000,8.886207479999994,88.7601895999997,256000
11,0.49579363999999637,2394.44430476,2000,8.922041639999986,97.6822312399997,284000
12,0.49711595999999647,2393.9471888,2000,8.908819959999958,106.59105119999965,308000
13,0.5094156399999963,2393.43777316,2000,8.865255639999985,115.45630683999964,336000
14,0.49800219999999645,2392.93977096,2000,8.91182219999999,124.36812903999963,360000
15,0.5076572399999965,2392.43211372,2000,8.873793239999964,133.24192227999959,384000
16,0.5006318799999965,2391.93148184,2000,8.90483187999998,142.14675415999957,412000
17,0.5015050799999965,2391.42997676,2000,8.889153079999968,151.03590723999955,436000
18,0.5001989999999964,2390.92977776,2000,8.903690999999975,159.93959823999953,464000
19,0.5010645199999965,2390.42871324,2000,8.892476519999965,168.8320747599995,488000
20,0.49711995999999653,2389.93159328,2000,8.913035959999977,177.74511071999947,516000
21,0.5058988399999962,2389.42569444,2000,8.881214839999988,186.62632555999946,540000
22,0.5107444399999967,2388.91495,2000,8.87349643999996,195.49982199999943,564000
23,0.4971108399999964,2388.41783916,2000,8.91077883999997,204.4106008399994,592000
24,0.49799579999999644,2387.91984336,2000,8.903771799999966,213.31437263999936,616000
25,0.5067787599999961,2387.4130646,2000,8.870962759999976,222.18533539999933,644000
26,0.5006383599999965,2386.91242624,2000,8.911010359999986,231.0963457599993,668000
27,0.4979883599999964,2386.41443788,2000,8.905260359999959,240.00160611999928,692000
28,0.49975411999999664,2385.91468376,2000,8.901502119999984,248.90310823999926,720000
29,0.5133727599999963,2385.401311,2000,8.854004759999963,257.7571129999992,744000
30,0.49843891999999645,2384.90287208,2000,8.908042919999968,266.66515591999917,772000
31,0.5006245199999965,2384.40224756,2000,8.900928519999985,275.56608443999914,796000
32,0.49843867999999647,2383.90380888,2000,8.90645867999998,284.4725431199991,824000
33,0.5041398799999963,2383.399669,2000,8.879791879999974,293.3523349999991,848000
34,0.5023949999999965,2382.897274,2000,8.899094999999967,302.25142999999906,872000
35,0.49843131999999646,2382.39884268,2000,8.906195319999993,311.15762531999906,900000
36,0.5037078799999966,2381.8951348,2000,8.89723587999997,320.05486119999904,924000
37,0.5072168399999962,2381.38791796,2000,8.86702083999997,328.921882039999,952000
38,0.5010787599999964,2380.8868392,2000,8.901542759999986,337.823424799999,976000
39,0.49623171999999643,2380.3906074799997,2000,8.907159719999965,346.73058451999896,1004000
40,0.5015113199999965,2379.8890961599996,2000,8.895239319999975,355.62582383999893,1028000
41,0.5059005999999963,2379.3831955599994,2000,8.891352599999983,364.51717643999893,1052000
42,0.49668203999999644,2378.8865135199994,2000,8.912034039999982,373.4292104799989,1080000
43,0.5102936399999966,2378.3762198799996,2000,8.866489639999966,382.29570011999886,1104000
44,0.49931667999999646,2377.8769031999996,2000,8.904000679999971,391.1997007999988,1132000
45,0.5019427599999965,2377.3749604399995,2000,8.88246275999997,400.0821635599988,1156000
46,0.5045931599999963,2376.8703672799998,2000,8.899433159999981,408.9815967199988,1184000
47,0.49798995999999646,2376.37237732,2000,8.908101959999966,417.88969867999873,1208000
48,0.49755587999999645,2375.87482144,2000,8.912147879999958,426.8018465599987,1232000
49,0.5045813999999963,2375.3702400399998,2000,8.871521399999997,435.6733679599987,1260000
50,0.5094288399999964,2374.8608111999997,2000,8.880676839999968,444.5540447999987,1284000
51,0.4909514799999963,2374.3698597199996,2000,8.920299479999974,453.47434427999866,1312000
52,0.48744075999999653,2373.8824189599995,2000,8.931016759999952,462.40536103999864,1336000
53,0.4971053999999964,2373.3853135599998,2000,8.907017399999976,471.3123784399986,1360000
54,0.4909644399999964,2372.89434912,2000,8.921076439999974,480.2334548799986,1388000
55,0.4896316399999963,2372.40471748,2000,8.92295963999997,489.1564145199986,1412000
56,0.48832467999999646,2371.9163928,2000,8.938968679999995,498.0953831999986,1440000
57,0.5045750799999963,2371.41181772,2000,8.867111079999969,506.96249427999857,1464000
58,0.4909617199999963,2370.9208559999997,2000,8.924721719999965,515.8872159999985,1492000
59,0.48919531999999644,2370.43166068,2000,8.92917531999996,524.8163913199985,1516000
60,0.48964035999999644,2369.9420203199998,2000,8.929760359999962,533.7461516799984,1540000
61,0.49710331999999635,2369.444917,2000,8.897387319999996,542.6435389999984,1568000
62,0.4909649999999963,2368.953952,2000,8.931092999999969,551.5746319999984,1592000
63,0.49007371999999644,2368.46387828,2000,8.917649719999995,560.4922817199983,1620000
64,0.49667067999999653,2367.9672075999997,2000,8.905702679999946,569.3979843999983,1644000
65,0.49622699999999625,2367.4709805999996,2000,8.90048299999998,578.2984673999983,1672000
66,0.4922805199999965,2366.9787000799997,2000,8.93222051999998,587.2306879199983,1696000
67,0.4913900399999963,2366.4873100399996,2000,8.920382039999962,596.1510699599983,1720000
68,0.4874452399999965,2365.9998647999996,2000,8.92859323999998,605.0796631999982,1748000
69,0.4957858799999964,2365.5040789199998,2000,8.89702587999997,613.9766890799982,1772000
70,0.49184155999999646,2365.0122373599997,2000,8.925481559999998,622.9021706399982,1800000
71,0.4957869199999964,2364.51645044,2000,8.912406919999961,631.8145775599982,1824000
72,0.4887605199999964,2364.02768992,2000,8.92896451999995,640.7435420799981,1852000
73,0.4997395599999965,2363.52795036,2000,8.889455559999972,649.632997639998,1876000
74,0.48964683999999636,2363.0383035199998,2000,8.92888283999998,658.5618804799981,1900000
75,0.49007323999999647,2362.5482302799996,2000,8.917329239999976,667.479209719998,1928000
76,0.49007891999999637,2362.0581513599996,2000,8.935090919999954,676.414300639998,1952000
77,0.49183235999999636,2361.5663189999996,2000,8.910588359999995,685.324888999998,1980000
78,0.4993127599999965,2361.0670062399995,2000,8.903928759999957,694.228817759998,2004000
79,0.4931475599999963,2360.5738586799994,2000,8.91113155999997,703.139949319998,2028000
80,0.4878849199999965,2360.0859737599994,2000,8.929552919999974,712.069502239998,2056000
81,0.49754299999999635,2359.5884307599995,2000,8.902806999999992,720.9723092399979,2080000
82,0.49228187999999645,2359.0961488799994,2000,8.919361879999972,729.8916711199979,2108000
83,0.48919515999999635,2358.6069537199996,2000,8.93415515999996,738.8258262799978,2132000
84,0.48568531999999665,2358.1212683999997,2000,8.933881319999971,747.7597075999978,2160000
85,0.5067720399999961,2357.6144963599995,2000,8.864748039999967,756.6244556399978,2184000
86,0.4940398799999963,2357.1204564799996,2000,8.931019879999988,765.5554755199978,2208000
87,0.4874356399999965,2356.6330208399995,2000,8.920427639999975,774.4759031599978,2236000
88,0.4905184399999964,2356.1425023999996,2000,8.928470439999959,783.4043735999977,2260000
89,0.4949097199999964,2355.6475926799994,2000,8.902741719999975,792.3071153199977,2288000
90,0.4887649999999964,2355.1588276799994,2000,8.931220999999969,801.2383363199976,2312000
